sasdate,indpro_g_mom_pct
1973-08-01,-0.13961166260316737
1973-09-01,0.7920202637356155
1973-10-01,0.8035045199364266
1973-11-01,0.45495765544836253
1973-12-01,-0.28241465709011315
1974-01-01,-0.6666990590415978
1974-02-01,-0.3040599373275832
1974-03-01,-0.005949606831912035
1974-04-01,-0.293070250856875
1974-05-01,0.795334789545521
1974-06-01,-0.1902778915780612
1974-07-01,0.20189790827571663
1974-08-01,-1.0652056388292586
1974-09-01,0.01639562196253941
1974-10-01,-0.3166445013414343
1974-11-01,-3.3450262371278683
1974-12-01,-3.661552585630945
1975-01-01,-1.3956193454434995
1975-02-01,-2.307603791943791
1975-03-01,-1.1064018859745062
1975-04-01,0.19190986129222765
1975-05-01,-0.2925097151229572
1975-06-01,0.6302051608945369
1975-07-01,1.0365890635813724
